layerset,loss,optimizer,epoch,seed,layer,correct
[[108; 'linear']; [108; 'linear']; [164; 'linear']],mse,adam,13,4256473131,3,0.7142857142857143
[[108; 'linear']; [108; 'linear']; [164; 'linear']],mse,adam,20,2982166252,3,0.7321428571428571
[[108; 'linear']; [108; 'linear']; [164; 'linear']],mse,rmsprop,13,2734736710,3,0.5892857142857143
[[108; 'linear']; [108; 'linear']; [164; 'linear']],mse,rmsprop,20,483165826,3,0.625
[[108; 'linear']; [108; 'linear']; [300; 'relu']],mse,adam,13,592961362,3,0.6964285714285714
[[108; 'linear']; [108; 'linear']; [300; 'relu']],mse,adam,20,4184025985,3,0.6428571428571429
[[108; 'linear']; [108; 'linear']; [300; 'relu']],mse,rmsprop,13,1459339835,3,0.5535714285714286
[[108; 'linear']; [108; 'linear']; [300; 'relu']],mse,rmsprop,20,1758971694,3,0.7142857142857143
[[108; 'linear']; [108; 'linear']; [300; 'linear']],mse,adam,13,3823723929,3,0.6071428571428571
[[108; 'linear']; [108; 'linear']; [300; 'linear']],mse,adam,20,3373388026,3,0.6071428571428571
[[108; 'linear']; [108; 'linear']; [300; 'linear']],mse,rmsprop,13,2913168956,3,0.7678571428571429
[[108; 'linear']; [108; 'linear']; [300; 'linear']],mse,rmsprop,20,3679638472,3,0.625
[[108; 'linear']; [164; 'relu']; [108; 'relu']],mse,adam,13,833468931,3,0.75
[[108; 'linear']; [164; 'relu']; [108; 'relu']],mse,adam,20,1969380890,3,0.6964285714285714
[[108; 'linear']; [164; 'relu']; [108; 'relu']],mse,rmsprop,13,3826094845,3,0.6428571428571429
[[108; 'linear']; [164; 'relu']; [108; 'relu']],mse,rmsprop,20,3258408579,3,0.75
[[108; 'linear']; [164; 'relu']; [108; 'linear']],mse,adam,13,3563552234,3,0.75
[[108; 'linear']; [164; 'relu']; [108; 'linear']],mse,adam,20,3033953797,3,0.6964285714285714
[[108; 'linear']; [164; 'relu']; [108; 'linear']],mse,rmsprop,13,2506572398,3,0.6428571428571429
[[108; 'linear']; [164; 'relu']; [108; 'linear']],mse,rmsprop,20,3581013281,3,0.6607142857142857
[[108; 'linear']; [164; 'relu']; [164; 'relu']],mse,adam,13,3569935374,3,0.6607142857142857
[[108; 'linear']; [164; 'relu']; [164; 'relu']],mse,adam,20,300799962,3,0.6071428571428571
[[108; 'linear']; [164; 'relu']; [164; 'relu']],mse,rmsprop,13,3881303015,3,0.6428571428571429
[[108; 'linear']; [164; 'relu']; [164; 'relu']],mse,rmsprop,20,798174775,3,0.625
[[108; 'linear']; [164; 'relu']; [164; 'linear']],mse,adam,13,3177541430,3,0.7142857142857143
[[108; 'linear']; [164; 'relu']; [164; 'linear']],mse,adam,20,2111777144,3,0.6607142857142857
[[108; 'linear']; [164; 'relu']; [164; 'linear']],mse,rmsprop,13,2663530437,3,0.5714285714285714
[[108; 'linear']; [164; 'relu']; [164; 'linear']],mse,rmsprop,20,1639035528,3,0.5892857142857143
[[108; 'linear']; [164; 'relu']; [300; 'relu']],mse,adam,13,4265638868,3,0.75
[[108; 'linear']; [164; 'relu']; [300; 'relu']],mse,adam,20,1938747217,3,0.6964285714285714
[[108; 'linear']; [164; 'relu']; [300; 'relu']],mse,rmsprop,13,2263044327,3,0.6607142857142857
[[108; 'linear']; [164; 'relu']; [300; 'relu']],mse,rmsprop,20,3768787164,3,0.5714285714285714
[[108; 'linear']; [164; 'relu']; [300; 'linear']],mse,adam,13,3528586649,3,0.6428571428571429
[[108; 'linear']; [164; 'relu']; [300; 'linear']],mse,adam,20,3037282448,3,0.7142857142857143
[[108; 'linear']; [164; 'relu']; [300; 'linear']],mse,rmsprop,13,4097996148,3,0.7142857142857143
[[108; 'linear']; [164; 'relu']; [300; 'linear']],mse,rmsprop,20,2477744528,3,0.6071428571428571
[[108; 'linear']; [164; 'linear']; [108; 'relu']],mse,adam,13,2259267572,3,0.6785714285714286
[[108; 'linear']; [164; 'linear']; [108; 'relu']],mse,adam,20,1062958714,3,0.6964285714285714
[[108; 'linear']; [164; 'linear']; [108; 'relu']],mse,rmsprop,13,2486717736,3,0.5892857142857143
[[108; 'linear']; [164; 'linear']; [108; 'relu']],mse,rmsprop,20,774075009,3,0.6607142857142857
[[108; 'linear']; [164; 'linear']; [108; 'linear']],mse,adam,13,2824879294,3,0.6964285714285714
[[108; 'linear']; [164; 'linear']; [108; 'linear']],mse,adam,20,2764025626,3,0.6428571428571429
[[108; 'linear']; [164; 'linear']; [108; 'linear']],mse,rmsprop,13,1474233418,3,0.7678571428571429
[[108; 'linear']; [164; 'linear']; [108; 'linear']],mse,rmsprop,20,18141844,3,0.5892857142857143
[[108; 'linear']; [164; 'linear']; [164; 'relu']],mse,adam,13,762863289,3,0.6785714285714286
[[108; 'linear']; [164; 'linear']; [164; 'relu']],mse,adam,20,1156911733,3,0.6785714285714286
[[108; 'linear']; [164; 'linear']; [164; 'relu']],mse,rmsprop,13,1188737598,3,0.625
[[108; 'linear']; [164; 'linear']; [164; 'relu']],mse,rmsprop,20,2586582050,3,0.7321428571428571
[[108; 'linear']; [164; 'linear']; [164; 'linear']],mse,adam,13,2420906890,3,0.6428571428571429
[[108; 'linear']; [164; 'linear']; [164; 'linear']],mse,adam,20,3971829810,3,0.6428571428571429
[[108; 'linear']; [164; 'linear']; [164; 'linear']],mse,rmsprop,13,366381959,3,0.6785714285714286
[[108; 'linear']; [164; 'linear']; [164; 'linear']],mse,rmsprop,20,2156087711,3,0.6785714285714286
[[108; 'linear']; [164; 'linear']; [300; 'relu']],mse,adam,13,2156615432,3,0.6607142857142857
[[108; 'linear']; [164; 'linear']; [300; 'relu']],mse,adam,20,3990771723,3,0.5892857142857143
[[108; 'linear']; [164; 'linear']; [300; 'relu']],mse,rmsprop,13,1218941628,3,0.625
[[108; 'linear']; [164; 'linear']; [300; 'relu']],mse,rmsprop,20,738084465,3,0.6071428571428571
[[108; 'linear']; [164; 'linear']; [300; 'linear']],mse,adam,13,833903985,3,0.6428571428571429
[[108; 'linear']; [164; 'linear']; [300; 'linear']],mse,adam,20,4168197888,3,0.7142857142857143
[[108; 'linear']; [164; 'linear']; [300; 'linear']],mse,rmsprop,13,2838685381,3,0.75
[[108; 'linear']; [164; 'linear']; [300; 'linear']],mse,rmsprop,20,2558078550,3,0.7321428571428571
[[108; 'linear']; [300; 'relu']; [108; 'relu']],mse,adam,13,3168304300,3,0.625
[[108; 'linear']; [300; 'relu']; [108; 'relu']],mse,adam,20,1366704083,3,0.7321428571428571
[[108; 'linear']; [300; 'relu']; [108; 'relu']],mse,rmsprop,13,2758035552,3,0.5535714285714286
[[108; 'linear']; [300; 'relu']; [108; 'relu']],mse,rmsprop,20,451665349,3,0.625
[[108; 'linear']; [300; 'relu']; [108; 'linear']],mse,adam,13,1312829222,3,0.7321428571428571
[[108; 'linear']; [300; 'relu']; [108; 'linear']],mse,adam,20,889555258,3,0.6785714285714286
[[108; 'linear']; [300; 'relu']; [108; 'linear']],mse,rmsprop,13,2049219225,3,0.5
[[108; 'linear']; [300; 'relu']; [108; 'linear']],mse,rmsprop,20,2679306738,3,0.7321428571428571
[[108; 'linear']; [300; 'relu']; [164; 'relu']],mse,adam,13,2484582250,3,0.6964285714285714
[[108; 'linear']; [300; 'relu']; [164; 'relu']],mse,adam,20,4164859330,3,0.6607142857142857
[[108; 'linear']; [300; 'relu']; [164; 'relu']],mse,rmsprop,13,1737832315,3,0.6785714285714286
[[108; 'linear']; [300; 'relu']; [164; 'relu']],mse,rmsprop,20,1156322672,3,0.6785714285714286
[[108; 'linear']; [300; 'relu']; [164; 'linear']],mse,adam,13,77663585,3,0.7321428571428571
[[108; 'linear']; [300; 'relu']; [164; 'linear']],mse,adam,20,860935299,3,0.75
[[108; 'linear']; [300; 'relu']; [164; 'linear']],mse,rmsprop,13,1321800794,3,0.625
[[108; 'linear']; [300; 'relu']; [164; 'linear']],mse,rmsprop,20,1821374889,3,0.7321428571428571
[[108; 'linear']; [300; 'relu']; [300; 'relu']],mse,adam,13,4109133093,3,0.6964285714285714
[[108; 'linear']; [300; 'relu']; [300; 'relu']],mse,adam,20,1469036366,3,0.6785714285714286
[[108; 'linear']; [300; 'relu']; [300; 'relu']],mse,rmsprop,13,4174305307,3,0.5357142857142857
[[108; 'linear']; [300; 'relu']; [300; 'relu']],mse,rmsprop,20,1718101036,3,0.7142857142857143
[[108; 'linear']; [300; 'relu']; [300; 'linear']],mse,adam,13,2756763812,3,0.6428571428571429
[[108; 'linear']; [300; 'relu']; [300; 'linear']],mse,adam,20,3212830013,3,0.7142857142857143
[[108; 'linear']; [300; 'relu']; [300; 'linear']],mse,rmsprop,13,1623740898,3,0.6964285714285714
